year,value
2000-01-01,7528
2001-01-01,8350
2002-01-01,8266
2003-01-01,8384
2004-01-01,8371
2005-01-01,8206
2006-01-01,10042
2007-01-01,9876
2008-01-01,9677
2009-01-01,10121
2010-01-01,9882
2011-01-01,9874
2012-01-01,10960
2013-01-01,10671
2014-01-01,10994
2015-01-01,10628
2016-01-01,11534
2017-01-01,11491
2018-01-01,11043
2019-01-01,11902
2020-01-01,3964
2021-01-01,7522
2022-01-01,14041
2023-01-01,16081
2024-01-01,16423
