year,forecast,ci_lower,ci_upper
2025,16389.037233199895,12375.61355462093,20402.46091177886
2026,18076.089802369737,14062.666123790772,22089.513480948703
2027,20020.957519676493,16007.533841097527,24034.381198255458
2028,22241.208744297197,18227.78506571823,26254.632422876162
2029,24754.41183540893,20740.988156829964,28767.835513987895
